Tgl,Jawa Barat,Sumatera Utara,Sulawesi Selatan
2020-08-06,83,86,182
2020-08-07,152,216,88
2020-08-08,240,101,107
2020-08-09,179,25,90
2020-08-10,33,129,77
2020-08-11,95,207,54
2020-08-12,109,109,90
2020-08-13,111,94,81
2020-08-14,361,69,37
2020-08-15,237,195,102
2020-08-16,83,51,156
2020-08-17,45,17,97
2020-08-18,45,130,39
2020-08-19,104,78,32
2020-08-20,199,59,59
2020-08-21,93,21,98
2020-08-22,134,73,61
2020-08-23,68,78,33
2020-08-24,137,37,46
2020-08-25,250,134,52
2020-08-26,178,137,70
2020-08-27,154,104,42
2020-08-28,526,86,76
2020-08-29,287,103,85
2020-08-30,103,39,29
2020-08-31,145,58,108
2020-09-01,215,115,79
2020-09-02,203,182,137
2020-09-03,238,141,50
2020-09-04,385,125,77
2020-09-05,228,162,154
2020-09-06,173,81,209
2020-09-07,204,92,11
2020-09-08,336,107,51
2020-09-09,288,132,118
2020-09-10,335,146,168
2020-09-11,272,131,151
2020-09-12,291,121,52
2020-09-13,157,103,56
2020-09-14,203,94,185
2020-09-15,347,249,107
2020-09-16,293,126,164
2020-09-17,353,117,120
2020-09-18,341,125,159
2020-09-19,470,97,167
2020-09-20,427,95,174
2020-09-21,680,100,36
2020-09-22,575,98,121
2020-09-23,516,87,124
2020-09-24,804,96,165
2020-09-25,734,94,169
2020-09-26,386,98,193
2020-09-27,437,97,120
2020-09-28,489,85,59
2020-09-29,316,88,147
2020-09-30,446,102,78
2020-10-01,559,111,119
2020-10-02,544,89,74
2020-10-03,343,86,43
2020-10-04,248,83,68
2020-10-05,503,89,17
2020-10-06,508,98,46
2020-10-07,752,96,139
2020-10-08,597,99,213
2020-10-09,504,95,101
2020-10-10,268,88,163
2020-10-11,205,85,176
2020-10-12,286,87,81
2020-10-13,565,89,98
2020-10-14,442,88,149
2020-10-15,590,90,113
2020-10-16,424,89,107
2020-10-17,500,86,66
2020-10-18,211,83,131
2020-10-19,524,91,43
2020-10-20,472,90,67
2020-10-21,657,87,97
2020-10-22,736,85,77
2020-10-23,504,91,61
2020-10-24,421,84,65
2020-10-25,356,90,43
2020-10-26,431,93,14
2020-10-27,390,90,205
2020-10-28,403,92,120
2020-10-29,459,88,23
2020-10-30,320,89,41
2020-10-31,411,93,6
2020-11-01,245,91,25
2020-11-02,341,79,2
2020-11-03,484,78,27
2020-11-04,516,79,70
2020-11-05,627,77,63
2020-11-06,587,78,26
2020-11-07,476,76,125
2020-11-08,479,78,77
2020-11-09,330,75,58
