date,end_date,Aceh,Sumatera Utara,Sumatera Barat,Riau,Jambi,Sumatera Selatan,Bengkulu,Lampung,Bangka Belitung,Kepulauan Riau,Dki Jakarta,Jawa Barat,Jawa Tengah,Daerah Istimewa Yogyakarta,Jawa Timur,Banten,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Tengah,Kalimantan Selatan,Kalimantan Timur,Kalimantan Utara,Sulawesi Utara,Sulawesi Tengah,Sulawesi Selatan,Sulawesi Tenggara,Gorontalo,Sulawesi Barat,Maluku,Maluku Utara,Papua Barat,Papua
6-Aug-2020,7-Aug-2020,1,5,1,1,3,5,5,5,5,1,1,1,1,5,1,1,1,1,5,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5
7-Aug-2020,8-Aug-2020,1,5,2,1,1,5,5,5,5,2,1,1,1,5,1,2,1,1,5,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
8-Aug-2020,9-Aug-2020,1,5,2,1,2,5,5,5,5,2,1,1,1,5,1,2,1,1,5,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
9-Aug-2020,10-Aug-2020,1,5,2,1,2,5,5,5,5,3,1,1,1,5,1,2,1,1,5,5,2,1,1,5,1,2,3,1,5,2,2,2,2,5
10-Aug-2020,11-Aug-2020,1,5,2,2,2,5,5,5,5,4,1,1,2,5,1,2,1,2,5,5,2,2,2,5,2,2,4,2,5,2,2,2,2,5
11-Aug-2020,12-Aug-2020,1,5,2,5,2,5,5,5,5,4,1,1,1,5,1,2,1,1,1,5,1,1,1,5,1,2,4,1,5,2,2,2,2,5
12-Aug-2020,13-Aug-2020,1,5,2,5,2,5,5,5,5,4,1,1,1,5,1,2,1,2,1,5,1,1,1,5,1,2,4,1,5,2,2,2,2,5
13-Aug-2020,14-Aug-2020,2,5,2,5,2,5,5,5,5,4,1,1,1,5,1,2,1,1,2,5,1,1,1,5,1,2,4,1,5,2,2,2,2,5
14-Aug-2020,15-Aug-2020,1,5,2,5,3,5,5,5,5,4,1,1,1,5,1,2,1,1,1,5,1,1,1,5,1,2,4,1,5,1,2,2,2,5
15-Aug-2020,16-Aug-2020,1,5,2,1,1,5,5,5,5,4,1,1,1,5,1,2,1,1,1,5,1,1,1,5,1,2,4,1,5,1,2,2,2,5
16-Aug-2020,17-Aug-2020,1,5,2,1,2,5,5,5,5,4,1,1,1,5,1,2,1,1,2,5,1,1,1,5,1,2,4,1,5,2,2,2,2,5
17-Aug-2020,18-Aug-2020,1,5,2,1,2,5,5,5,5,2,1,1,1,5,1,2,1,1,2,5,1,1,1,5,1,2,1,1,5,1,2,2,2,5
18-Aug-2020,19-Aug-2020,1,5,2,1,2,5,5,5,5,1,1,1,1,5,1,3,1,1,1,5,1,1,1,5,1,2,2,1,5,1,2,2,2,5
