Tgl,Jawa Barat,Sumatera Utara,Sulawesi Selatan
2020-08-06,6995,4477,10169
2020-08-07,7147,4693,10257
2020-08-08,7387,4794,10364
2020-08-09,7566,4819,10454
2020-08-10,7599,4948,10531
2020-08-11,7694,5155,10585
2020-08-12,7803,5264,10675
2020-08-13,7914,5358,10756
2020-08-14,8275,5427,10793
2020-08-15,8512,5622,10895
2020-08-16,8595,5673,11051
2020-08-17,8640,5690,11148
2020-08-18,8685,5820,11187
2020-08-19,8789,5898,11219
2020-08-20,8988,5957,11278
2020-08-21,9081,5978,11376
2020-08-22,9215,6051,11437
2020-08-23,9283,6129,11470
2020-08-24,9420,6166,11516
2020-08-25,9670,6300,11568
2020-08-26,9848,6437,11638
2020-08-27,10002,6541,11680
2020-08-28,10528,6627,11756
2020-08-29,10815,6730,11841
2020-08-30,10918,6769,11870
2020-08-31,11063,6827,11978
2020-09-01,11278,6942,12057
2020-09-02,11481,7124,12194
2020-09-03,11719,7265,12244
2020-09-04,12104,7390,12321
2020-09-05,12332,7552,12475
2020-09-06,12505,7633,12684
2020-09-07,12709,7725,12695
2020-09-08,13045,7832,12746
2020-09-09,13333,7964,12864
2020-09-10,13668,8110,13032
2020-09-11,13940,8241,13183
2020-09-12,14231,8362,13235
2020-09-13,14388,8465,13291
2020-09-14,14591,8559,13476
2020-09-15,14938,8808,13583
2020-09-16,15231,8934,13747
2020-09-17,15584,9051,13867
2020-09-18,15925,9176,14026
2020-09-19,16395,9273,14193
2020-09-20,16822,9368,14367
2020-09-21,17502,9468,14403
2020-09-22,18077,9566,14524
2020-09-23,18593,9653,14648
2020-09-24,19397,9749,14813
2020-09-25,20131,9843,14982
2020-09-26,20517,9941,15175
2020-09-27,20954,10038,15295
2020-09-28,21443,10123,15354
2020-09-29,21759,10211,15501
2020-09-30,22205,10313,15579
2020-10-01,22764,10424,15698
2020-10-02,23308,10513,15772
2020-10-03,23651,10599,15815
2020-10-04,23899,10682,15883
2020-10-05,24402,10771,15900
2020-10-06,24910,10869,15946
2020-10-07,25662,10965,16085
2020-10-08,26259,11064,16298
2020-10-09,26763,11159,16399
2020-10-10,27031,11247,16562
2020-10-11,27236,11332,16738
2020-10-12,27522,11419,16819
2020-10-13,28087,11508,16917
2020-10-14,28529,11596,17066
2020-10-15,29119,11686,17179
2020-10-16,29543,11775,17286
2020-10-17,30043,11861,17352
2020-10-18,30254,11944,17483
2020-10-19,30778,12035,17526
2020-10-20,31250,12125,17593
2020-10-21,31907,12212,17690
2020-10-22,32643,12297,17767
2020-10-23,33147,12388,17828
2020-10-24,33568,12472,17893
2020-10-25,33924,12562,17936
2020-10-26,34355,12655,17950
2020-10-27,34745,12745,18155
2020-10-28,35148,12837,18275
2020-10-29,35607,12925,18298
2020-10-30,35927,13014,18339
2020-10-31,36338,13107,18345
2020-11-01,36583,13198,18370
2020-11-02,36924,13277,18372
2020-11-03,37408,13355,18399
2020-11-04,37924,13434,18469
2020-11-05,38551,13511,18532
2020-11-06,39138,13589,18558
2020-11-07,39614,13665,18683
2020-11-08,40093,13743,18760
2020-11-09,40423,13818,18818
